번호,건물명,매칭_장소명,위도(lat),경도(lng),도로명주소,지번주소,매칭쿼리,검색성공,좌표_추정치
1,법학전문대학원 1호관,전남대학교 법학전문대학원 1호관,35.174076083017795,126.90378665591928,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 법학전문대학원 1호관,Y,FALSE
2,법학전문대학원 프라임관,전남대학교 법학전문대학원 1호관,35.174076083017795,126.90378665591928,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대 법학전문대학원,Y,FALSE
3,법학전문대학원 2호관,전남대학교 법학전문대학원 2호관,35.17416985293214,126.90269427142862,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 법학전문대학원 2호관,Y,FALSE
4,제2학생마루(제2학생회관),전남대학교 제1학생회관매점2,35.1767155741029,126.907669747713,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 제2학생회관,Y,FALSE
5,사회과학대학관,대구대학교 경산캠퍼스 사회과학 1관,35.9013705482379,128.842741007227,경북 경산시 진량읍 대구대로 201,경북 경산시 진량읍 내리리 15,사회과학대학관,Y,FALSE
6,농업생명과학대학 3호관,전남대학교 농업생명과학대학3호관,35.17633314275412,126.90273560538094,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 농업생명과학대학 3호관,Y,FALSE
7,농업생명과학대학 2호관,전남대학교 농업생명과학대학2호관,35.1765233080567,126.901593672639,전남광주통합특별시 북구 설죽로202번길 75,전남광주통합특별시 북구 용봉동 1252-15,전남대학교 농업생명과학대학 2호관,Y,FALSE
8,농업생명과학대학 4호관,전남대학교 농업생명과학대학4호관,35.1759642602337,126.901339659766,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 농업생명과학대학 4호관,Y,FALSE
9,농업생명과학대학 1호관,전남대학교 농업생명과학대학1호관,35.1759455182265,126.900465844216,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 농업생명과학대학 1호관,Y,FALSE
10,생활관 8동 한울관,전남대학교 생활관8동 한울관,35.17642098909707,126.8999251504827,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 생활관 8동 한울관,Y,FALSE
11,생활관 7동 이룰관,전남대학교 광주캠퍼스 생활관7동 이룰관,35.1764141591909,126.899297221279,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 생활관 7동 이룰관,Y,FALSE
12,농업생명과학대학 5호관,전남대학교 농업생명과학대학5호관,35.1746621278819,126.900638660495,전남광주통합특별시 북구 용봉로 33,전남광주통합특별시 북구 용봉동 300,전남대학교 농업생명과학대학 5호관,Y,FALSE
13,수의과대학 동물병원,서울대학교 관악캠퍼스 수의과대학 동물병원,37.4681506717463,126.95317815988197,서울 관악구 관악로 1,서울 관악구 신림동 산 56-1,수의과대학 동물병원,Y,FALSE
14,수의과대학 1호관,전남대학교 수의과대학 1호관,35.1739086229474,126.900674705569,전남광주통합특별시 북구 용봉로 45,전남광주통합특별시 북구 용봉동 1116-2,전남대학교 수의과대학 1호관,Y,FALSE
15,수의과대학 실험동물사,전남대학교 수의과대학 1호관,35.1739086229474,126.900674705569,전남광주통합특별시 북구 용봉로 45,전남광주통합특별시 북구 용봉동 1116-2,전남대학교 수의과대학,Y,FALSE
16,수의과대학 2호관,전남대학교 수의과대학2호관,35.17404281638202,126.90164606093198,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 수의과대학 2호관,Y,FALSE
17,사범대학부설 중고등학교,전남대학교 사범대학 부설고등학교,35.1735097916105,126.902361340686,전남광주통합특별시 북구 용봉로 45,전남광주통합특별시 북구 용봉동 300,전남대학교사범대학부설고등학교,Y,FALSE
18,치의학전문대학원 임상교육관,전남대학교 치의학전문대학원임상교육관,35.17221925584658,126.90040232599638,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 치의학전문대학원 임상교육관,Y,FALSE
19,친환경농업연구소,고성군 친환경농업연구소,34.9961044288863,128.325842508384,경남 고성군 고성읍 남해안대로 2829-60,경남 고성군 고성읍 우산리 250-1,친환경농업연구소,Y,FALSE
20,치의학전문대학원 교육연구관,전남대학교 치의학전문대학원교육연구관,35.1722965613745,126.901245294219,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 치의학전문대학원 교육연구관,Y,FALSE
21,용봉관,전남대학교 광주캠퍼스 용봉관,35.1758853771972,126.906433481645,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 용봉관,Y,FALSE
22,대학본부(홍도),전남대학교 광주캠퍼스 대학본부,35.1759085764056,126.908484119778,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 81-2,전남대학교 대학본부,Y,FALSE
23,인문대학 3호관,전남대학교 인문대학3호관,35.1769225354399,126.904886591034,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 인문대학 3호관,Y,FALSE
24,경영대학 1호관,전남대학교 경영대학1호관,35.1767344684224,126.904144699102,전남광주통합특별시 북구 설죽로214번길 118,전남광주통합특별시 북구 용봉동 376-3,전남대학교 경영대학 1호관,Y,FALSE
25,경영대학 2호관,전남대학교 경영대학2호관,35.1765284887127,126.903552131839,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 경영대학 2호관,Y,FALSE
26,진리관,전남대학교 광주캠퍼스 진리관,35.1771086219741,126.90312549932,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 진리관,Y,FALSE
27,인문대학 1호관,전남대학교 인문대학1호관,35.1773405539189,126.904618239592,전남광주통합특별시 북구 설죽로214번길 122,전남광주통합특별시 북구 용봉동 376-1,전남대학교 인문대학 1호관,Y,FALSE
28,인문대학 2호관,전남대학교 인문대학2호관,35.1779286276017,126.905113764306,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 인문대학 2호관,Y,FALSE
29,미래 1호관,전남대학교 미래1호관,35.1777777140314,126.905772626489,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 미래 1호관,Y,FALSE
30,중앙도서관 별관(백도),전남대학교 광주캠퍼스 도서관본관,35.17692147034087,126.90583070014186,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 중앙도서관,Y,FALSE
31,창조관,전남대학교 광주캠퍼스 창조관,35.1793656178113,126.907742501586,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 창조관,Y,FALSE
32,학생군사교육단,전남대학교 학생군사교육단,35.1793105531269,126.907634976269,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 학생군사교육단,Y,FALSE
33,사범대학 교육융합관,전남대학교 광주캠퍼스 사범대학 교육융합관,35.17864754107197,126.90579577481793,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 사범대학 교육융합관,Y,FALSE
34,예술대학 1호관,전남대학교 예술대학1호관,35.1795478226098,126.905572973414,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 예술대학 1호관,Y,FALSE
35,AI융합대학,전남대학교 AI융합대학,35.179743132428,126.906367582097,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 AI융합대학,Y,FALSE
36,예술대학 2호관,전남대학교 예술대학2호관,35.1803992682515,126.906300958852,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 예술대학 2호관,Y,FALSE
37,예술대학 3호관,전남대학교 예술대학3호관,35.1802038277093,126.905339471813,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 예술대학 3호관,Y,FALSE
38,생활관 9동 예향관,전남대학교 생활관 9동 예향관,35.181076231481114,126.90520013052375,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 생활관 9동 예향관,Y,FALSE
39,예술대학 조형관,전남대학교 광주캠퍼스 예술대학 조형관,35.1809223019238,126.906620931869,전남광주통합특별시 북구 문화소통로108번길 40,전남광주통합특별시 북구 용봉동 1201-23,전남대학교 예술대학 조형관,Y,FALSE
40,산학협력 3호관,전남대학교 광주캠퍼스 산학협력관 3호관,35.180924556866,126.907209378864,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 산학협력관,Y,FALSE
41,산학협력 2호관,전남대학교 산학협력단 토양환경센터,35.1813846087643,126.907680935752,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 산학협력 2호관,Y,FALSE
42,G&R HUB,전남대학교 광주캠퍼스 G&R허브,35.1814849278651,126.90922880665664,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 G&R HUB,Y,FALSE
43,중앙도서관 정보마루,전남대학교 광주캠퍼스 도서관 정보마루,35.17653386172739,126.9057982132976,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 중앙도서관 정보마루,Y,FALSE
44,스토리움,전남대학교 광주캠퍼스 스토리움,35.1787476022953,126.906975820612,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 스토리움,Y,FALSE
45,만들마루,만들마루,35.18140311957404,126.90831767369586,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 만들마루,Y,FALSE
46,생활관 청아관,전남대학교 광주캠퍼스 광주생활관 청아관,35.1814182722512,126.910500203054,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 생활관 청아관,Y,FALSE
47,생활관 관리동,전남대학교 광주캠퍼스 광주생활관 관리동,35.180927358915646,126.91094207840953,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 생활관 관리동,Y,FALSE
48,미래2호관,전남대학교 미래2호관,35.1805038830905,126.911162109942,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 미래2호관,Y,FALSE
49,미래3호관,전남대학교 미래3호관,35.1801794820065,126.911281030034,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 미래3호관,Y,FALSE
50,산학협력 1호관,전남대학교 광주캠퍼스 산학협력관 3호관,35.180924556866,126.907209378864,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 산학협력관,Y,FALSE
51,공과대학 엔진실습동,전남대학교 광주캠퍼스 공과대학 엔진실습동,35.1802504385519,126.90972201352,전남광주통합특별시 북구 용봉로 33,전남광주통합특별시 북구 용봉동 300,전남대학교 공과대학 엔진실습동,Y,FALSE
52,공과대학 자동차중량실험동,(추정) 공과대학 자동차중량실험동,35.1804389,126.9097102,,,Fallback offset from: 공과대학 엔진실습동,Y,TRUE
53,공과대학 1호관,전남대학교 광주캠퍼스 공과대학 1호관,35.1796811018358,126.910152995133,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 공과대학 1호관,Y,FALSE
54,공과대학 6호관,전남대학교 광주캠퍼스 공과대학6호관,35.1797447866262,126.908532516393,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 공과대학 6호관,Y,FALSE
55,공과대학 2호관,전남대학교 광주캠퍼스 공과대학2호관,35.17915013523657,126.90885594451855,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 공과대학 2호관,Y,FALSE
56,공과대학 4호관,전남대학교 광주캠퍼스 공과대학4호관,35.1786310484716,126.908981675758,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 공과대학 4호관,Y,FALSE
57,공과대학 7호관,전남대학교 광주캠퍼스 공과대학7호관,35.178249084488,126.909263142872,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 공과대학 7호관,Y,FALSE
58,공과대학 3호관,전남대학교 광주캠퍼스 공과대학3호관,35.1791369041601,126.910452203636,전남광주통합특별시 북구 우치로 130,전남광주통합특별시 북구 용봉동 1108-12,전남대학교 공과대학 3호관,Y,FALSE
59,공과대학 5호관,전남대학교 광주캠퍼스 공과대학5호관,35.1781869951576,126.91061572229789,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 공과대학 5호관,Y,FALSE
60,사범대학 과학교육관,전남대학교 광주캠퍼스 사범대학과학교육관,35.1778527030473,126.909551210195,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 사범대학 과학교육관,Y,FALSE
61,한국공룡연구센터,전남대학교 광주캠퍼스 공룡연구센터,35.1731367335753,126.909457636056,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 한국공룡연구센터,Y,FALSE
62,어린이집,제일풍경채어린이집,35.17120995131002,126.91359818829832,전남광주통합특별시 북구 우치로40번길 25,전남광주통합특별시 북구 중흥동 836,전남대학교 어린이집,Y,FALSE
63,생활과학대학관,전남대학교 광주캠퍼스 생활과학대학관,35.17387889239361,126.91113638450672,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 생활과학대학관,Y,FALSE
64,사범대학 체육교육관,전남대학교 사범대학 체육교육관,35.1746382087137,126.911647118712,전남광주통합특별시 북구 우치로 77,전남광주통합특별시 북구 용봉동 235-3,전남대학교 사범대학 체육교육관,Y,FALSE
65,체육관,전남대학교 여수캠퍼스 체육관,34.7745420279736,127.697856019827,전남광주통합특별시 여수시 대학로 50,전남광주통합특별시 여수시 둔덕동 산 96-1,전남대학교 체육관,Y,FALSE
66,박물관,전남대학교 광주캠퍼스 박물관,35.17534083926061,126.9110623402753,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 박물관,Y,FALSE
67,약학대학 2호관,전남대학교 약학대학2호관,35.1764840933527,126.911517777446,전남광주통합특별시 북구 용봉로 33,전남광주통합특별시 북구 용봉동 300,전남대학교 약학대학 2호관,Y,FALSE
68,약학대학 1호관,전남대학교 약학대학1호관,35.1768409661747,126.911429566843,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 약학대학 1호관,Y,FALSE
69,자연과학대학 기초과학특성화과학관,전남대학교 자연과학대학3호관,35.1764580874555,126.910472706048,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 191-1,전남대학교 자연과학대학,Y,FALSE
70,공동실험실습관,전남대학교 광주캠퍼스 공동실험실습관,35.1759569431874,126.910486428918,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 191-1,전남대학교 공동실험실습관,Y,FALSE
71,자연과학대학 3호관,전남대학교 자연과학대학3호관,35.1764580874555,126.910472706048,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 191-1,전남대학교 자연과학대학 3호관,Y,FALSE
72,자연과학대학 2호관,전남대학교 자연과학대학2호관,35.1768435098715,126.90998925199,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 자연과학대학 2호관,Y,FALSE
73,자연과학대학 1호관,전남대학교 자연과학대학1호관,35.177272208533,126.90952331028,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 자연과학대학 1호관,Y,FALSE
74,한국기초과학지원연구원,한국기초과학지원연구원 광주센터,35.17661854973759,126.90928910622956,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 한국기초과학지원연구원,Y,FALSE
75,자연과학대학 4호관,전남대학교 자연과학대학4호관,35.1761761956802,126.909572827403,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 81-2,전남대학교 자연과학대학 4호관,Y,FALSE
76,용지관,전남대학교 광주캠퍼스 용지관,35.175473131321645,126.90956482369619,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 용지관,Y,FALSE
77,대학본부,전남대학교 광주캠퍼스 대학본부,35.1759085764056,126.908484119778,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 81-2,전남대학교 대학본부,Y,FALSE
78,민주마루,전남대학교 광주캠퍼스 민주마루,35.1762755456553,126.907451784799,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 300,전남대학교 민주마루,Y,FALSE
79,제1학생마루(제1학생회관),전남대학교 제1학생회관,35.1767155849803,126.907684019063,전남광주통합특별시 북구 용봉로 77,전남광주통합특별시 북구 용봉동 산 64-2,전남대학교 제1학생회관,Y,FALSE